trial,attempts
1,3833
2,2644
3,2292
4,382
5,3272
6,8312
7,2246
8,7247
9,8201
10,5519
11,3347
12,6199
13,4208
14,7578
15,4226
16,4082
17,4965
18,5876
19,8310
20,8872
21,7811
22,3255
23,2340
24,3240
25,662
26,2018
27,6103
28,3131
29,8540
30,3884
31,2308
32,2224
33,7017
34,4494
35,4227
36,4008
37,1724
38,2639
39,8045
40,10354
41,5730
42,2539
43,6263
44,2586
45,6217
46,4077
47,4857
48,3995
49,7496
50,4683
51,5143
52,5617
53,7817
54,2597
55,2181
56,2640
57,10243
58,3694
59,4484
60,4715
61,6687
62,659
63,5528
64,9090
65,4566
66,10111
67,7989
68,4595
69,8529
70,3600
71,6808
72,4342
73,10592
74,7368
75,2158
76,4219
77,3101
78,5922
79,7669
80,3409
81,12066
82,2358
83,7551
84,7195
85,6110
86,10469
87,4204
88,3792
89,3678
90,8310
91,4159
92,7374
93,6902
94,8889
95,10664
96,1939
97,4600
98,4157
99,7675
100,6750
